alcohol,What did the grape say when it got stepped on?,Nothing but it let out a little whine
alright,Did you hear about the guy who lost the left side of his body?,He's alright now.
apocalypse,So what if I don't know what apocalypse means!?,It's not the end of the world!
art,A courtroom artist was arrested today for an unknown reason,Details are sketchy
attire,What is the difference between a nicely dressed man on a tricycle and a poorly dressed man on a bicycle?,A tire
baby,Smaller babies may be delivered by stork,but the heavier ones need a crane
ball,It's not that the man did not know how to juggle,he just didn't have the balls to do it
book,I'm reading a book about anti-gravity,It's impossible to put down
bought,eBay is so useless,I tried to look up lighters and all they had was 13749 matches
brain,I wasn't originally going to get a brain transplant,but then I changed my mind
car,He drove his expensive car into a tree,and found out how the Mercedes bends
chem,I'd tell you a chemistry joke,but I know I wouldn't get a reaction
christmas,Remeber children the best way to get a puppy for Christmas,is to beg for a baby brother
claustrophobia,Claustrophic people are more productive thinking outside the box,
coin,A small boy swallowed some coins and was taken to a hospital. When his grandmother telephoned to ask how he was the nurse responded,No change yet!
cold,How does a snowman get around?,He rides an icicle!
color,I just found out I'm colorblind,The diagnosis came completely out of the purple
condiments,I relish the fact that you've mustard the strength to ketchup to me,
debt,I once got into so much debt that I couldn't even afford my electricity bills,they were the darkest times of my life
debug,Why don't prorammers like nature?,It has too many bugs
drugs,If there was someone selling drugs in this place,weed know
drugs,I used to be addicted to soap,but I'm clean now
easter,I'll show you where Easter eggs come from,You may be surprised
food,Why do the French eat snails?,They don't like fast food
food,My friend's bakery burned down last night,Now his business is toat
food,A man who survived mustard gas and pepper spray, is now a seasoned veteran
forgot,I couldn't remember how to throw a boomerang,but eventually it came back to me
friend,A friend is like a book,you don't need to read all of them just pick the best ones.
future,The future present and the past walked into a Barr,Things got a little tense
gym,Why don't some couples go to the gym?,Because some relationships don't work out
gym,Just burned 2000 calories,That's the last time I leave brownies in the oven while I nap
halloween,For Halloween we dressed up as almonds,Everyone could tell we were nuts
hand,I'm glad I know sign language,it's pretty handy
home,What did E.T.'s mother say to him when he got home?,Where on Earth have you been?!
math,To the mathematicians who thought of the idea of zero,Thanks for nothing!
math,Something about subtraction just doesn't add up,
math,Atheists don't solve exponential equations,They don't believe in higher powers
math,never discuss infinity with a mathematician,they can go on about it forever
mining,Show me a piano falling down a mineshaft,and I'll show you A-flat minor
money,I used to be a banker,but I lost interest
nobel,The one who invented the door knocker,Got a No-bell prize
physics,A photon picks up its airline tickets and is asked if it has any luggage to be checked,No I'm travelling light.
planet,How do you throw a space party?,You planet
punctuation,A prisoner's favorite punctuation mark is the period,It marks the end of his sentence
rain,I don't know if I just got hit by freezing rain,but it hurt like hail
rope,Is old rope good enough for a hanging?,Frayed knot that stuff is bad noose.
scissors,How was Rome split in two?,With a pair of Ceasars
screw,The experienced carpenter really nailed it,but the new guy screwed everything up
sleep,Police were called to a daycare,where a 3 year old was resisting a rest
soda,Did you hear about the guy who got hit in the head with a can of soda?,He was lucky it was a soft drink.
sports,Why was Cinderella thrown off the basketball team?,She ran away from the ball
stairs,I don't trust the stairs,They're always up to something
summary,It's a lengthy article on Japanese Sword Fighters,but I can Samurais it for you
time,Have you ever tried to eat a clock?,It's very time consuming.
chem,2 atoms walk into a bar. "I think I lost an electron" "Are you sure?", I'm positive!
